jobName,companyName,companyProp,salary,workExperience,recruitmentNumber,education,五险一金,带薪休假,员工旅游,周末双休,弹性工作,餐补,交通补助,年底双薪,股票期权
安卓SDK开发工程师,北京奇虎科技有限公司,上市公司,0.0,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
开发部五系统运维工程师,阁瑞钛伦特软件(北京)有限公司 ,民营,9000.5,不限,20人 ,大专,1,0,1,0,0,0,1,1,0
投资经理dew,东恒万通(北京)信息咨询服务有限公司 ,合资,12500.5,1-3年,3人 ,大专,1,0,0,1,1,0,0,0,0
android开发工程师,北京骏嘉财通科技有限公司 ,民营,9000.5,3-5年,1人 ,本科,0,0,1,0,1,0,0,0,0
中级投资管理,东恒万通(北京)信息咨询服务有限公司 ,合资,12500.5,1-3年,1人 ,本科,1,0,1,1,1,0,0,0,0
Android高级开发-搜狐资讯客户端,搜狐媒体 ,上市公司,25000.5,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
Android开发工程师,北京海量数据技术股份有限公司 ,股份制企业,17500.5,1-3年,1人 ,本科,0,0,0,0,0,0,0,0,0
Android开发工程师—昌平263,如舜投资(上海)有限公司 ,民营,17500.0,3-5年,1人 ,本科,1,0,0,1,0,1,0,1,0
Android技术leader-搜狐资讯客户端,搜狐媒体 ,上市公司,40000.5,5-10年,1人 ,本科,0,0,0,0,0,0,0,0,0
搜狐媒体-社交产品中心-高级Android开发工程师,搜狐媒体 ,上市公司,40000.5,5-10年,1人 ,本科,0,0,0,0,0,0,0,0,0
安卓开发-北京-03785,博彦科技股份有限公司 ,上市公司,12500.5,不限,4人 ,不限,0,0,0,0,0,0,0,0,0
android开发工程师,北京对啊网教育科技有限公司 ,合资,16000.0,3-5年,4人 ,不限,1,0,0,0,1,0,0,0,0
Android工程师,北京禧云企业管理有限公司 ,民营,22500.0,3-5年,2人 ,大专,1,0,0,0,1,1,1,1,0
Android开发,北明软件有限公司北京分公司,民营,12500.5,3-5年,2人 ,本科,1,0,1,0,0,0,1,1,0
安卓工程师,中科软科技股份有限公司,股份制企业,11500.0,1-3年,1人 ,本科,1,0,0,1,0,1,0,0,0
android研发工程师,北京中电普华信息技术有限公司,国企,15000.0,3-5年,1人 ,本科,1,0,0,1,0,1,0,0,0
Android开发工程师,神州数码医疗科技股份有限公司 ,股份制企业,12500.5,3-5年,1人 ,本科,1,0,0,0,0,1,0,0,0
Android开发工程师,中视前卫影视传媒有限公司 ,国企,22500.0,3-5年,2人 ,本科,0,0,0,0,1,1,1,0,0
安卓中级工程师,中科软科技股份有限公司,股份制企业,9000.0,3-5年,1人 ,本科,1,0,1,0,0,1,0,0,0
Android高级开发工程师J11713,易鑫集团 ,上市公司,17500.5,5-10年,999人 ,本科,0,0,0,0,0,0,0,0,0
Android,北京华路时代信息技术有限公司 ,民营,15000.0,3-5年,1人 ,本科,1,0,0,0,0,0,0,0,0
高级Android研发工程师J11575,易鑫集团 ,上市公司,12500.5,不限,999人 ,不限,0,0,0,0,0,0,0,0,0
Android研发工程师,同程艺龙 ,民营,22000.0,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
Android工程师,人人公司（Renren Inc．） ,合资,15500.0,3-5年,2人 ,本科,0,0,0,0,0,1,0,0,0
安卓开发,北京奇安信科技有限公司 ,其它,15000.0,1-3年,1人 ,本科,1,0,1,0,0,1,0,0,0
中级安卓工程师,北京凌翔教育咨询有限公司 ,民营,12500.0,不限,1人 ,本科,1,0,0,0,0,1,1,0,0
JAVA/Android开发工程师+双休五险一金,北京世普荣新科技有限公司 ,民营,7000.5,不限,5人 ,中专,1,0,0,0,0,0,0,1,0
软件开发实习生（JAVA/安卓+双休+交大附近,北京华信智原教育技术有限公司 ,股份制企业,7000.5,不限,3人 ,大专,1,0,1,0,0,0,0,1,0
Android开发工程师,北京天融信科技有限公司 ,民营,12500.5,1-3年,1人 ,本科,1,0,0,0,0,1,1,0,0
高薪诚聘 Android开发工程师,上海猎你网络科技有限公司 ,民营,17500.0,3-5年,2人 ,大专,1,0,1,1,0,1,0,1,0
Android开发工程师,北京首钢自动化信息技术有限公司 ,国企,12500.0,3-5年,2人 ,本科,1,0,0,0,0,1,1,0,0
Android开发工程师(000878),中文在线数字出版集团股份有限公司 ,上市公司,17500.5,5-10年,1人 ,本科,0,0,0,0,0,0,0,0,0
高级Android工程师,小叶子(北京)科技有限公司 ,民营,20000.0,1-3年,1人 ,本科,0,0,0,0,0,0,0,0,0
android开发工程师（北京）,深圳市源极光科技有限公司 ,民营,11500.0,1-3年,1人 ,大专,1,0,1,0,1,0,0,0,0
android,深圳梵谷人力资源有限公司 ,保密,20500.0,不限,1人 ,大专,0,0,0,1,0,0,0,0,0
android高级开发工程师,北京巧女公益基金会 ,社会团体,17500.5,3-5年,2人 ,本科,1,0,0,0,0,1,1,1,1
android教材编辑(J10959),江苏传智播客教育科技股份有限公司北京分公司 ,民营,11500.0,1-3年,1人 ,大专,1,0,1,1,0,1,1,0,0
安卓开发工程师,北京星恒教育科技有限公司 ,民营,12500.5,1-3年,1人 ,大专,0,0,1,0,0,1,0,0,0
Android开发工程师（JR1hj）,北京东方国信科技股份有限公司 ,上市公司,9000.0,1-3年,3人 ,本科,0,0,0,0,0,0,0,0,0
教材编辑J10591,江苏传智播客教育科技股份有限公司北京分公司 ,民营,12500.0,3-5年,1人 ,本科,1,0,0,0,0,1,1,0,0
Android工程师(天籁/北京）,神州数码通用软件(上海)有限公司 ,合资,14000.0,5-10年,3人 ,本科,1,0,0,1,1,0,0,0,0
Android工程师（LT1ll）,北京东方国信科技股份有限公司 ,上市公司,12500.0,1-3年,2人 ,本科,1,0,0,1,0,1,0,1,0
安卓开发工程师,医协创智科技(北京)有限公司 ,民营,15000.0,3-5年,1人 ,本科,1,0,0,0,0,1,1,0,0
Android开发工程师,知迪汽车技术(北京)有限公司 ,外商独资,18000.0,1-3年,3人 ,本科,1,0,0,0,1,1,0,1,0
Android高级开发工程师,青岛伟东云教育集团有限公司,上市公司,20000.0,3-5年,2人 ,本科,1,0,0,0,1,1,0,0,1
Android开发-大当加,北京真格天成投资管理有限公司 ,民营,32500.0,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
安卓开发工程师,祝好（北京）科技有限公司 ,民营,13000.0,3-5年,1人 ,本科,0,0,1,1,0,0,0,0,0
Android研发工程师,北京师范大学,事业单位,10000.0,不限,3人 ,本科,1,0,0,0,0,1,1,0,0
android高级开发工程师,国网汇通金财(北京)信息科技有限公司,国企,12500.5,3-5年,1人 ,本科,1,0,0,0,0,0,0,1,0
Android开发工程师（高薪）,如禹投资(上海)有限公司 ,民营,17500.0,3-5年,1人 ,大专,1,0,0,1,0,0,0,0,0
Android初中级研发工程师（CSZN-yfwb）,北京东方国信科技股份有限公司 ,上市公司,15000.0,1-3年,2人 ,本科,1,0,0,1,0,1,0,1,0
安卓开发工程师（18届应届生）,福建新大陆支付技术有限公司,上市公司,6250.0,不限,1人 ,本科,1,0,1,0,0,0,0,1,0
Android开发工程师,北京直真科技股份有限公司 ,民营,22500.0,3-5年,3人 ,本科,0,0,0,0,0,0,0,0,0
Android开发工程师,如禹投资(上海)有限公司 ,民营,17500.0,3-5年,1人 ,本科,1,0,0,1,0,1,0,1,0
Android开发工程师（经理）,北京中公教育科技股份有限公司,民营,27500.0,3-5年,1人 ,本科,0,0,0,0,0,0,1,0,0
高级安卓开发工程师/架构师（18-30k 双休）,安徽省刀锋网络科技有限公司郑州分公司 ,股份制企业,25000.5,3-5年,2人 ,不限,0,0,1,0,1,0,0,1,0
安卓开发-北京分公司（2w-3w 五险一金）,安徽省刀锋网络科技有限公司郑州分公司 ,股份制企业,25000.5,3-5年,3人 ,大专,1,0,1,1,1,0,0,1,0
NXKZ-android软件研发工程师,北京智芯微电子科技有限公司,国企,12500.5,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
Android高级工程师,北京明特量化信息技术有限公司 ,民营,25000.0,3-5年,2人 ,本科,1,0,0,0,1,1,0,0,0
Android开发,拓天伟业(北京)资产管理集团有限公司 ,民营,11500.0,不限,1人 ,不限,1,0,1,0,0,0,0,0,0
android开发工程师,青米(北京)科技有限公司 ,民营,13500.0,3-5年,1人 ,本科,1,0,1,1,0,0,0,0,0
Android开发工程师,北京师范大学出版社(集团)有限公司,国企,20000.0,3-5年,1人 ,本科,1,0,0,1,0,1,1,0,0
安卓开发工程师,北京影化科技有限公司 ,民营,17500.5,3-5年,1人 ,本科,1,0,1,0,0,1,0,0,0
Android高级开发工程师,北京可酷科技有限公司 ,外商独资,27500.0,3-5年,1人 ,本科,1,0,0,0,0,0,0,1,1
Android开发工程师,北京快来创客网络科技有限公司 ,合资,7000.5,1-3年,3人 ,本科,1,0,1,0,0,0,0,0,1
Android开发工程师,北京翡翠教育科技有限公司昌平分公司,民营,12500.5,1-3年,2人 ,大专,1,0,0,1,0,1,0,0,0
Android开发工程师,鹏博士电信传媒集团股份有限公司 ,上市公司,10000.0,1-3年,1人 ,本科,1,0,0,1,0,1,0,1,0
Android研发工程师,北京国电通网络技术有限公司 ,国企,14500.0,3-5年,3人 ,本科,1,0,0,0,0,1,1,0,0
安卓高级开发工程师,中国电信集团系统集成有限责任公司,国企,22500.0,5-10年,1人 ,本科,1,0,0,0,0,1,1,0,0
Android开发工程师,北京一路捞互联网科技有限公司 ,股份制企业,12500.0,1-3年,1人 ,大专,1,0,1,0,0,0,0,0,0
安卓开发工程师,上海臣盈软件科技有限公司 ,合资,12500.5,1-3年,3人 ,大专,1,0,0,1,1,0,0,1,0
Android开发工程师,国信金融信息服务(北京)有限公司 ,股份制企业,16500.0,3-5年,1人 ,不限,1,0,0,1,0,0,0,0,0
android开发工程师（西二旗地铁站）,北京丰合智信网络科技有限公司 ,民营,20000.0,3-5年,1人 ,大专,1,0,1,1,1,0,0,0,0
安卓工程师,清檬养老服务有限公司 ,民营,22500.0,1-3年,1人 ,大专,0,0,1,1,1,1,0,0,0
android工程师,北京润和汇智信息技术有限公司 ,民营,12500.5,3-5年,1人 ,本科,1,0,0,1,0,1,0,0,1
高级Android开发工程师（北京/苏州）,北京百卓网络技术有限公司 ,民营,20000.0,3-5年,1人 ,本科,1,0,1,0,0,1,0,0,0
Android应用开发工程师,金杜律师事务所,合资,0.0,3-5年,1人 ,本科,1,0,0,0,0,0,0,0,0
Android开发工程师,嘉网股份 ,上市公司,12500.5,3-5年,1人 ,大专,1,0,0,0,0,0,0,1,0
Android开发工程师,北京中宇华兴科技有限公司 ,民营,12500.5,1-3年,5人 ,本科,1,0,1,0,1,1,0,1,0
Android开发工程师,北京健科云网科技有限公司 ,民营,17500.0,1-3年,1人 ,大专,1,0,0,1,1,1,0,1,0
android实习生,上海海徽软件科技有限公司 ,合资,5000.5,不限,3人 ,大专,0,0,0,0,0,0,0,0,0
android开发工程师,厦门悠生活网络科技有限公司 ,民营,11000.0,1-3年,1人 ,大专,1,0,0,0,0,0,0,1,0
android开发工程师,北京中诚华夏信息服务集团有限公司 ,民营,10000.0,1-3年,1人 ,大专,1,0,0,1,1,0,0,0,0
Android开发工程师,吉林市统泰一网全城电子商务有限公司 ,民营,12500.5,1-3年,1人 ,本科,1,0,0,0,1,1,0,1,0
Android 开发工程师,北京竞业达数码科技股份有限公司 ,股份制企业,15000.0,3-5年,1人 ,本科,1,0,0,0,0,1,1,0,0
Android软件工程师,北京北斗星通导航技术股份有限公司,上市公司,17500.5,3-5年,2人 ,本科,1,0,0,0,0,1,0,0,1
android开发工程师,北京猎豹移动科技有限公司 ,上市公司,22500.0,3-5年,3人 ,本科,0,0,0,0,0,1,0,0,0
Android开发工程师,北京飞利信科技股份有限公司 ,上市公司,11500.0,3-5年,1人 ,本科,1,0,1,0,0,1,0,0,0
高级Android开发及地图平台Android开发人员,北京太比雅科技股份有限公司 ,合资,20000.0,3-5年,8人 ,本科,1,0,1,0,0,1,1,0,0
安卓开发工程师,北京课观教育科技有限责任公司 ,民营,15000.0,1-3年,1人 ,本科,1,0,0,0,0,0,0,0,1
Android开发工程师(J12029),北京北大方正电子有限公司,国企,13000.0,3-5年,1人 ,本科,1,0,0,1,0,1,0,0,0
android开发工程师,鸿合科技股份有限公司 ,民营,20000.0,3-5年,2人 ,不限,1,0,0,1,1,1,0,1,0
高级安卓开发工程师,北京软虹科技有限公司,股份制企业,12500.5,3-5年,1人 ,大专,1,0,0,0,1,1,0,0,0
Android开发工程师,人教数字出版有限公司 ,国企,20000.0,5-10年,1人 ,本科,1,0,0,0,0,1,1,0,0
安卓开发工程师,北京神州视翰科技有限公司 ,上市公司,12000.0,1-3年,2人 ,本科,1,0,1,1,0,1,0,0,0
Android系统开发工程师,比亚迪股份有限公司 ,民营,12000.0,不限,16人 ,本科,0,0,0,0,0,0,0,0,0
android开发工程师,上海阿妙食品有限公司北京分公司 ,民营,13000.0,1-3年,1人 ,大专,1,0,0,0,0,1,1,1,0
荣昌东街-安卓工程师(hm),北京中科建友科技股份有限公司 ,民营,9000.5,3-5年,1人 ,本科,1,0,0,0,0,0,0,0,0
Hybrid开发工程师,银河互联网电视有限公司 ,国企,22500.0,3-5年,1人 ,大专,1,0,0,0,0,1,1,0,0
Android开发工程师（语玩北京）,贵阳朗玛信息技术股份有限公司,股份制企业,12000.0,1-3年,1人 ,本科,1,0,0,0,0,1,1,0,0
android开发工程师,北京艾特互联科技有限公司 ,民营,12500.5,1-3年,1人 ,本科,1,0,0,1,1,1,0,0,0
Android开发工程师,北京中广通业信息科技股份有限公司 ,民营,12000.0,1-3年,1人 ,本科,1,0,0,0,0,0,0,0,0
Android开发工程师,北京闲徕互娱网络科技有限公司 ,民营,22500.0,不限,1人 ,不限,1,0,1,0,0,0,0,0,0
中级安卓开发,北京华录新媒信息技术有限公司 ,股份制企业,12500.0,3-5年,1人 ,本科,1,0,0,0,0,1,1,0,0
高级安卓开发工程师,北京网秦天下科技有限公司 ,股份制企业,25000.5,5-10年,1人 ,本科,1,0,0,1,1,1,0,0,0
Android初级工程师,北京六律科技有限责任公司 ,民营,12500.5,1-3年,1人 ,本科,1,0,1,0,1,0,0,0,0
iOS开发工程师,北京艾特互联科技有限公司 ,民营,12500.5,1-3年,1人 ,本科,1,0,0,0,1,0,0,0,0
android,上海云克网络科技有限公司北京市朝阳分公司 ,上市公司,17500.5,1-3年,1人 ,本科,1,0,0,1,1,1,0,1,0
Android架构师-北京-00342,北京数字认证股份有限公司 ,国企,20000.0,5-10年,1人 ,本科,1,0,1,0,0,0,0,0,0
Android开发工程师,上海云克网络科技有限公司北京市朝阳分公司 ,上市公司,12500.5,1-3年,1人 ,本科,1,0,0,0,0,1,0,0,0
Android开发工程师,北京恒信彩虹信息技术有限公司 ,上市公司,17500.5,3-5年,1人 ,本科,1,0,0,0,1,1,0,0,0
Android开发工程师,北京独创时代科技有限公司 ,民营,12500.5,1-3年,1人 ,本科,0,0,0,0,1,1,0,0,0
Android开发工程师,北京禾银财富信息技术有限公司 ,股份制企业,14000.0,3-5年,3人 ,本科,0,0,0,0,0,0,0,0,0
android开发工程师,河北源达信息技术股份有限公司,股份制企业,17500.5,1-3年,1人 ,大专,1,0,1,1,0,1,0,0,0
Android软件工程师（北京）,大连优尼特科技有限公司 ,民营,12000.0,3-5年,20人 ,大专,0,0,0,0,0,0,0,0,0
中级安卓开发工程师,hooli ,民营,20000.0,3-5年,2人 ,本科,1,0,0,0,1,0,0,0,0
安卓研发工程师,hooli ,民营,15000.0,1-3年,1人 ,本科,0,0,1,0,0,0,0,1,0
Android开发工程师,在线途游(北京)科技有限公司 ,民营,18000.0,3-5年,1人 ,本科,1,0,0,0,0,1,0,1,0
Android 工程师,北京仁学网络科技有限公司 ,股份制企业,15000.0,1-3年,1人 ,不限,1,0,0,1,1,1,0,0,0
安卓开发工程师,十七华体育文化有限公司 ,民营,12500.5,3-5年,1人 ,本科,1,0,0,0,0,0,1,0,0
Android应用开发工程师-车联网系统产品部,北京图为先科技有限公司 ,民营,20000.0,3-5年,5人 ,大专,1,0,1,0,1,0,0,0,0
嵌入式Android工程师,北京康斯特仪表科技股份有限公司 ,股份制企业,20000.0,3-5年,3人 ,本科,1,0,1,0,0,1,0,1,0
安卓工程师,国美控股集团有限公司,民营,30000.0,5-10年,2人 ,本科,1,0,0,0,0,0,0,1,0
Android开发工程师,中国四维测绘技术有限公司,国企,9000.5,不限,1人 ,不限,1,0,0,0,0,0,1,1,0
安卓工程师,凡普金科企业发展(上海)有限公司 ,股份制企业,40000.0,5-10年,2人 ,不限,1,0,0,0,1,1,0,1,0
高级Android研发工程师,随锐科技股份有限公司 ,股份制企业,17500.5,3-5年,1人 ,本科,1,0,0,0,0,1,0,0,1
android开发工程师,中海油能源发展股份有限公司北京人力资源服务分公司 ,国企,13500.0,1-3年,5人 ,本科,0,0,0,0,0,0,0,0,0
安卓开发,国网电子商务有限公司,国企,10500.0,1-3年,1人 ,本科,0,0,0,0,0,0,0,0,0
Android开发工程师,北京智驿信息技术有限责任公司 ,民营,20000.0,3-5年,1人 ,本科,1,0,0,0,0,0,0,0,0
安卓开发工程师,普天新能源有限责任公司 ,国企,9000.5,3-5年,1人 ,本科,1,0,0,1,0,0,1,0,0
资深APP开发工程师（Android方向）,河北耀辰环保科技有限公司 ,民营,17500.5,3-5年,1人 ,本科,1,0,0,1,1,0,0,1,0
Android 开发工程师,中国国际金融股份有限公司,合资,0.0,不限,1人 ,本科,0,0,0,0,0,0,0,0,0
高级Android开发工程师(Liveme业务线),北京猎豹移动科技有限公司 ,上市公司,22500.0,3-5年,2人 ,本科,1,0,0,0,0,1,0,0,0
高级Android开发工程师,北京猎豹移动科技有限公司 ,上市公司,22500.0,3-5年,2人 ,本科,1,0,0,0,1,1,0,0,0
Android开发工程师,北京和利时数字技术有限公司 ,民营,11500.0,不限,3人 ,不限,1,0,0,0,0,1,1,0,1
android,北京杰丰瑞特文化传媒有限公司 ,民营,12500.0,3-5年,1人 ,本科,0,0,0,1,0,0,0,0,0
安卓开发工程师,世纪爱心国际投资集团有限公司,民营,37500.0,1-3年,1人 ,本科,1,0,1,0,0,1,1,0,0
安卓开发工程师（短视频）(010332),苏宁易购集团股份有限公司 ,上市公司,14000.0,3-5年,1人 ,本科,1,0,0,0,0,1,0,0,0
android开发工程师,北京蓝海讯通科技有限公司 ,民营,20500.0,3-5年,1人 ,本科,1,0,0,1,0,0,0,0,0
android高级工程师,暴风影音 ,上市公司,60000.0,5-10年,1人 ,本科,1,0,0,1,0,1,0,0,0
android开发工程师,国王世纪(北京)科技有限公司 ,民营,14000.0,3-5年,1人 ,本科,1,0,0,1,0,0,0,0,0
Android开发工程师,优地网络有限公司 ,外商独资,5000.5,1-3年,1人 ,本科,1,0,0,0,0,1,1,0,0
android安全渗透工程师,北京云测网络科技有限公司 ,外商独资,40000.5,3-5年,1人 ,本科,1,0,1,0,1,1,1,0,0
安卓工程师,国广东方网络(北京)有限公司 ,股份制企业,12500.5,不限,1人 ,大专,1,0,0,1,0,1,1,0,0
Android软件高级工程师,北京睿德咨询有限公司 ,民营,12500.5,3-5年,2人 ,大专,1,0,0,0,0,0,0,1,0
安卓/Android开发工程师,中圆金所(北京)投资管理有限公司 ,民营,10000.0,1-3年,1人 ,大专,1,0,0,0,0,0,0,0,0
安卓,北京腾信软创科技股份有限公司,股份制企业,14000.0,1-3年,4人 ,本科,1,0,0,1,0,1,0,0,0
安卓开发工程师,北京睿博美佳商贸有限公司 ,民营,12500.5,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
安卓开发工程师,北京博电新力电气股份有限公司 ,股份制企业,11000.0,1-3年,1人 ,本科,1,0,0,1,0,0,0,1,0
微博客户端Android开发工程师,新浪网 ,外商独资,25000.5,1-3年,1人 ,本科,1,0,0,0,0,0,0,1,0
直播APP端Android开发工程师,上海小蚁科技有限公司 ,外商独资,25000.5,不限,1人 ,本科,1,0,0,0,0,1,0,0,0
android开发工程师,奥琦玮信息科技(北京)有限公司 ,民营,17500.5,3-5年,1人 ,大专,1,0,0,0,0,0,0,0,0
资深Android开发工程师（app端）,上海小蚁科技有限公司 ,外商独资,17500.5,不限,1人 ,本科,1,0,0,0,0,1,0,0,0
安卓开发工程师,中融鸿泰众筹资产管理(北京)有限公司 ,民营,17500.5,3-5年,1人 ,本科,1,0,0,1,0,0,0,1,0
Android开发-北京-03670,博彦科技股份有限公司 ,上市公司,12500.5,不限,2人 ,不限,0,0,0,0,0,0,0,0,0
android开发,北京青钱信息技术有限公司,民营,17500.5,3-5年,1人 ,大专,1,0,0,1,0,1,1,0,0
Android开发工程师-北京-03454,博彦科技股份有限公司 ,上市公司,12500.5,3-5年,1人 ,不限,0,0,0,0,0,0,0,0,0
android开发工程师,北京独创时代科技有限公司 ,民营,12500.5,3-5年,1人 ,本科,1,0,0,1,0,0,0,0,0
Android工程师-北京-03673,博彦科技股份有限公司 ,上市公司,17500.5,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
Android工程师,北京摩拜科技有限公司 ,民营,22500.0,3-5年,6人 ,不限,0,0,0,0,0,0,0,0,0
Android开发工程师(001047),中科创达软件股份有限公司,合资,11000.0,1-3年,1人 ,本科,0,0,0,0,0,0,0,0,0
Android开发工程师,广州哈奇智能科技有限公司北京分公司 ,民营,20000.0,5-10年,1人 ,本科,1,0,0,0,1,1,0,1,0
岗位编码015：安卓开发工程师,健和九州(北京)科技有限公司 ,民营,12000.0,3-5年,2人 ,本科,1,0,0,0,0,0,1,0,0
Android开发工程师,北京信链科技有限公司 ,民营,20000.0,3-5年,1人 ,本科,1,0,0,1,1,0,1,0,0
Android开发工程师,九福世纪(北京)科技有限公司 ,民营,17500.5,3-5年,2人 ,本科,0,0,0,0,0,0,0,0,0
app开发工程师,北京啥都想网络科技有限公司 ,民营,12500.5,3-5年,5人 ,本科,1,0,1,0,0,1,0,0,0
Android开发工程师,北京阿尔山金融科技有限公司 ,民营,10000.0,3-5年,1人 ,本科,1,0,0,0,0,0,0,0,0
安卓APP开发工程师,北京金华汉新技术有限责任公司 ,民营,7000.5,3-5年,1人 ,本科,1,0,0,0,0,0,0,0,0
android开发工程师中级,鲤鱼(上海)文化科技有限公司北京分公司 ,民营,12500.5,1-3年,1人 ,本科,1,0,0,0,0,1,0,0,0
安卓开发工程师,天歌纳顿传媒广告(北京)有限公司 ,民营,17500.5,3-5年,1人 ,本科,1,0,0,1,0,1,1,0,0
Android软件开发工程师,环球丝路(北京)国际教育科技有限公司 ,股份制企业,7000.5,不限,5人 ,大专,1,0,0,0,0,1,1,1,0
android,深圳彩旗飘扬劳务派遣有限公司 ,民营,20500.0,不限,1人 ,大专,0,0,0,1,0,0,0,0,0
